,Name,Co-bps,Original Decoding,New Decoding,Smooth Decoding,val lt-co-bps,Filered Trials Decoding
70,blooming-sweep-73,-0.017628771251752,0.123342507400373,0.044591205633307400,0.11887066575299600,-0.018166036991360600,0.1276160900869920
71,fluent-sweep-74,0.103430602705038,0.309958518100104,0.3319416454950400,0.5461773685248760,0.13332216557632100,0.31724424291980900
72,glorious-sweep-75,0.124533916610726,0.403268583381127,0.4447191880233710,0.5244899577923750,0.1574473651424880,0.4308574214619150
73,soft-sweep-76,-0.0302370894530109,0.212233321507802,0.1202451360186990,0.3372111756930660,0.021127030044518600,0.2172871161390090
74,denim-sweep-77,0.144366912912562,0.483754746876864,0.5212452652886140,0.5768541429179610,0.1878960120666620,0.4913188594378380
75,devout-sweep-78,0.138673642234062,0.481347137782762,0.5221804317030940,0.575908205648796,0.1720801865236790,0.49561503237683300
76,devout-sweep-79,0.137293975911009,0.523136654696437,0.5681675904866900,0.6222340822611120,0.17548222908497500,0.5634806988157020
77,drawn-sweep-80,0.0779947179821882,0.189434267256868,0.22745830385238900,0.31396548802037400,0.09565144044554880,0.1978804406404300
78,fancy-sweep-81,0.0852584482370417,0.429148789149746,0.48715388227629500,0.5560711060306460,0.13477546197177400,0.4633289170559610
79,golden-sweep-82,0.122936681485416,0.533944700966102,0.5666711012564680,0.6127130028088000,0.2279613483856380,0.599832702264199
80,helpful-sweep-83,0.0859731060193286,0.131460282981501,0.152284152655852,0.3863072505192190,0.1036640261579220,0.1321287553545750
81,rich-sweep-84,0.0942443858853461,0.0433269352584954,0.061527166297876700,0.12597450320461400,0.11679809397925400,0.05657311081985150
82,driven-sweep-85,0.0972330036517988,0.323157420066636,0.3452890858978840,0.4342108936565070,0.12246633043313700,0.3239880517412510
83,olive-sweep-86,0.0673652388798291,0.0680309620707998,0.02134342789756790,0.05296180230380700,0.07176999941469110,0.0781717498104985
84,clean-sweep-87,0.0455623317971787,0.20491741691584,0.10342648925049600,0.2741113944816320,0.06397328955035600,0.20686510672870300
85,icy-sweep-88,0.0995549414210976,0.208731104760288,0.23116972481626800,0.5329263525869740,0.12388072650274900,0.22371165314665500
86,upbeat-sweep-89,-0.0164878853724342,0.002285823941492,0.007682160855253640,0.008449545703399010,-0.01788577648202060,0.007870506336852450
87,solar-sweep-90,0.0812762275775182,0.348717795046186,0.35854070435118900,0.39600917163331,0.11861739095357500,0.34795169647224300
88,efficient-sweep-91,0.111164082072892,0.466101268217495,0.511838771100928,0.6086243178066560,0.141866005697209,0.49410778509317000
89,bumbling-sweep-92,0.0586108275007909,0.111540659146477,0.15105897691138600,0.3244961570448220,0.07629687300612350,0.1424275640615580
90,denim-sweep-93,0.0277131929942497,0.307928843121318,0.3483519624267830,0.4141032668451100,0.0242161031460632,0.3281070642141200
91,radiant-sweep-95,0.113298569501666,0.349278534592803,0.39156980009590700,0.44494744682604600,0.1474006546270350,0.3505834905295380
92,worthy-sweep-96,0.117178132641998,0.506142416257851,0.552201737539447,0.6141120484629150,0.15212962933106200,0.5245828331676600
93,proud-sweep-97,0.121381840083543,0.314570562135984,0.35161962620720800,0.43255892426766000,0.157059340035394,0.315901718657251
94,apricot-sweep-98,-0.28184499625132,0.233746820718281,0.10687609229494600,0.2275208885541090,-0.2682460055801270,0.23324350017809700
95,desert-sweep-99,0.0875781556063371,0.0612873438268442,0.0734233923131713,0.15559301654206800,0.10827904085792100,0.06251193081725200
96,laced-sweep-100,0.0756102967660478,0.0788819051134987,0.10604041278082200,0.34793565823469100,0.10044893948703000,0.1041188672549750
97,colorful-sweep-101,0.105918235009527,0.344953731453586,0.3936699935143040,0.48840295909988800,0.14092744262687200,0.3689132488950820
98,pious-sweep-102,-0.250055852052827,0.215803329370029,0.07492046618009640,0.2768626980679870,-0.26918526732998300,0.22643493361873900
99,eager-sweep-103,-0.0350221116906174,0.0370274553370252,0.0565400945587084,0.16754001988538000,-0.03762389479238800,0.05393517490625850
100,snowy-sweep-104,0.0256568098740277,0.295767893800638,0.04020713630479840,0.06845303990584830,0.04893626594397390,0.2798215203689040
101,atomic-sweep-105,-0.0005333430152051,0.0408381388002004,0.07812510167153900,0.13174928048691900,0.016929307061777200,0.06780477476682130
102,wandering-sweep-106,0.109749825739184,0.361903121057001,0.3929979025396190,0.5856653428835530,0.155664915451114,0.37837786926037800
103,sage-sweep-107,0.0794647611882694,0.0247685739268024,0.04824709271120480,0.11913798160152500,0.09999067021597420,0.0403546886216483
104,generous-sweep-108,-0.031635160606935,0.0633544085642538,0.07846885365180830,0.33584919183442400,-0.03350845744639780,0.07234324176074630
105,major-sweep-109,0.071625845706521,0.182199425177767,0.1828514041091420,0.4729313309760390,0.0832369641588002,0.18621405112261700
106,colorful-sweep-110,0.117657921242242,0.383284809986204,0.41934765095920200,0.5858381155860710,0.1516572467337210,0.4013306231640560
107,decent-sweep-111,0.077720239045869,0.236179991855802,0.2451870094526610,0.4496376871111230,0.10316720052632600,0.23718958395255200
108,ancient-sweep-112,-0.123307669561158,0.159759935334106,0.06583908274369850,0.15695823016314200,-0.10401831041869900,0.16259041453247100
109,distinctive-sweep-113,0.0479283454952189,0.153963054656444,0.06599767171082900,0.16854525779888400,0.04981492530723200,0.15824543578995900
110,glorious-sweep-114,0.0752236797669083,0.0695896729640267,0.08191482496469990,0.15328876211545300,0.09576540044957680,0.06978580744445420
111,clean-sweep-115,0.0347085792564077,0.0484657057494125,0.07202116336392450,0.21865050769830200,0.04945891584548820,0.05953391172738970
112,eager-sweep-116,0.100490527041791,0.499151969861647,0.5341718222622590,0.6299042437256490,0.13916254591480200,0.5132720428344950
113,effortless-sweep-117,0.0468917845606374,0.0965243145348992,0.1130003449900870,0.31901151944707700,0.04582447097829850,0.09345515062408240
