lag,std,r2
330,330,0.964274
330,340,0.965929
330,350,0.967358
330,360,0.968567
330,370,0.969562
330,380,0.970357
330,390,0.970965
330,400,0.971393
340,10,0.439909
340,20,0.562204
340,30,0.630796
340,40,0.680536
340,50,0.719432
340,60,0.750597
340,70,0.776027
340,80,0.797210
340,90,0.815201
340,100,0.830738
340,110,0.844355
340,120,0.856412
340,130,0.867191
340,140,0.876895
340,150,0.885676
340,160,0.893670
340,170,0.900977
340,180,0.907688
340,190,0.913868
340,200,0.919581
340,210,0.924871
340,220,0.929784
340,230,0.934355
340,240,0.938604
340,250,0.942558
340,260,0.946227
340,270,0.949620
340,280,0.952742
340,290,0.955599
340,300,0.958194
340,310,0.960540
340,320,0.962640
340,330,0.964491
340,340,0.966112
340,350,0.967508
340,360,0.968687
340,370,0.969654
340,380,0.970424
340,390,0.971009
340,400,0.971418
350,10,0.442782
350,20,0.565186
350,30,0.633650
350,40,0.683209
350,50,0.721904
350,60,0.752877
350,70,0.778135
350,80,0.799166
350,90,0.817019
350,100,0.832430
350,110,0.845927
350,120,0.857872
350,130,0.868547
350,140,0.878153
350,150,0.886844
350,160,0.894753
350,170,0.901982
350,180,0.908620
350,190,0.914731
350,200,0.920379
350,210,0.925609
350,220,0.930464
350,230,0.934980
350,240,0.939178
350,250,0.943082
350,260,0.946703
350,270,0.950050
350,280,0.953127
350,290,0.955941
350,300,0.958495
350,310,0.960800
350,320,0.962862
350,330,0.964677
350,340,0.966264
350,350,0.967628
350,360,0.968777
350,370,0.969718
350,380,0.970463
350,390,0.971027
350,400,0.971418
360,10,0.445522
360,20,0.568033
360,30,0.636372
360,40,0.685756
360,50,0.724257
360,60,0.755044
360,70,0.780137
360,80,0.801023
360,90,0.818746
360,100,0.834036
360,110,0.847421
360,120,0.859260
360,130,0.869835
360,140,0.879348
360,150,0.887953
360,160,0.895782
360,170,0.902935
360,180,0.909503
360,190,0.915547
360,200,0.921133
360,210,0.926305
360,220,0.931105
360,230,0.935568
360,240,0.939715
360,250,0.943571
360,260,0.947145
360,270,0.950446
360,280,0.953479
360,290,0.956250
360,300,0.958764
360,310,0.961030
360,320,0.963054
360,330,0.964834
360,340,0.966387
360,350,0.967720
360,360,0.968841
360,370,0.969755
360,380,0.970478
360,390,0.971021
360,400,0.971395
370,10,0.448130
370,20,0.570742
370,30,0.638963
370,40,0.688177
370,50,0.726489
370,60,0.757098
370,70,0.782033
370,80,0.802781
370,90,0.820381
370,100,0.835558
370,110,0.848836
370,120,0.860575
370,130,0.871056
370,140,0.880481
370,150,0.889003
370,160,0.896756
370,170,0.903838
370,180,0.910338
370,190,0.916320
370,200,0.921846
370,210,0.926961
370,220,0.931707
370,230,0.936119
370,240,0.940216
370,250,0.944025
370,260,0.947553
370,270,0.950810
370,280,0.953800
370,290,0.956530
370,300,0.959003
370,310,0.961231
370,320,0.963218
370,330,0.964963
370,340,0.966484
370,350,0.967787
370,360,0.968880
370,370,0.969769
370,380,0.970469
370,390,0.970993
370,400,0.971350
380,10,0.450603
380,20,0.573314
380,30,0.641421
380,40,0.690470
380,50,0.728600
